Awardee;Funds Obligated to Date;Agency
TEXAS STATE UNIVERSITY-SAN MARCOS;$375,759;NSF
ILLINOIS INSTITUTE OF TECHNOLOGY;$0;NSF
SOUTH DAKOTA DISCOVERY CENTER AND AQUARIUM, THE;$480,261;NASA
UNIVERSITY OF FLORIDA;$58,000;NASA
PENNSYLVANIA STATE UNIVERSITY, THE;$125,000;NSF
UNIVERSITY OF PITTSBURGH THE;$1,155,034;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$433,911;NSF
TEXAS TECH UNIVERSITY SYSTEM;$389,272;NSF
WRIGHT STATE UNIVERSITY;$400,000;NSF
UNIVERSITY OF WASHINGTON;$785,949;NSF
UNIVERSITY OF ILLINOIS;$499,936;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE;$300,000;NSF
MIAMI UNIVERSITY;$99,811;NSF
THERMOAURA INC.;$758,000;NSF
MASSCHALLENGE INC;$50,000;NSF
AUBURN UNIVERSITY;$13,939;NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA;$161,982;NSF
UNIVERSITIES SPACE RESEARCH ASSOCIATION;$1,185,073.1;NASA
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;$106,392;NASA
UNIVERSITY OF SOUTH CAROLINA;$30,000;NSF
CONCORD CONSORTIUM INC;$999,921;NSF
BEREA COLLEGE;$296,388;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$539,999;NSF
UNIVERSITY OF MASSACHUSETTS;$460,000;NSF
TEXAS A & M UNIVERSITY;$76,812;NSF
UNIVERSITY OF FLORIDA;$99,984;NASA
UNIVERSITY OF MARYLAND CENTER FOR ENVIRONMENTAL SCIENCE;$1,618,200;NSF
WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT;$248,869;NSF
CARNEGIE MELLON UNIVERSITY;$814,572;NSF
THE UNIVERSITY OF SOUTH DAKOTA;$297,862;NSF
PALO ALTO RESEARCH CENTER INCORPORATED;$1,215,070;NSF
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$249,529;NSF
